A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Episode  108/500 | return=-21.00 | len= 824 | eps=0.737 | loss=0.02438
Episode  109/500 | return=-21.00 | len= 912 | eps=0.735 | loss=0.02200
Episode  110/500 | return=-21.00 | len= 824 | eps=0.733 | loss=0.02411
Episode  111/500 | return=-21.00 | len= 764 | eps=0.731 | loss=0.02604
Episode  112/500 | return=-19.00 | len= 966 | eps=0.729 | loss=0.02297
Episode  113/500 | return=-20.00 | len= 870 | eps=0.727 | loss=0.02403
Episode  114/500 | return=-18.00 | len=1092 | eps=0.724 | loss=0.02122
Episode  115/500 | return=-21.00 | len= 824 | eps=0.722 | loss=0.02419
Episode  116/500 | return=-19.00 | len=1125 | eps=0.720 | loss=0.01972
Episode  117/500 | return=-20.00 | len=1011 | eps=0.718 | loss=0.02096
Episode  118/500 | return=-19.00 | len=1008 | eps=0.716 | loss=0.02193
Episode  119/500 | return=-20.00 | len=1013 | eps=0.714 | loss=0.02107
Episode  120/500 | return=-21.00 | len= 792 | eps=0.712 | loss=0.02510
Episode  121/500 | return=-20.00 | len= 981 | eps=0.710 | loss=0.02144
Episode  122/500 | return=-19.00 | len=1224 | eps=0.708 | loss=0.01804
Episode  123/500 | return=-21.00 | len= 820 | eps=0.706 | loss=0.02443
Episode  124/500 | return=-21.00 | len= 820 | eps=0.705 | loss=0.02402
Episode  125/500 | return=-21.00 | len= 764 | eps=0.703 | loss=0.02617
  Eval over 5 eps: mean_return=-21.00 ± 0.00
Episode  126/500 | return=-21.00 | len= 824 | eps=0.701 | loss=0.02410
Episode  127/500 | return=-21.00 | len= 852 | eps=0.699 | loss=0.02327
Episode  128/500 | return=-20.00 | len= 921 | eps=0.697 | loss=0.02317
Episode  129/500 | return=-20.00 | len= 932 | eps=0.695 | loss=0.02242
Episode  130/500 | return=-20.00 | len= 947 | eps=0.693 | loss=0.02212
Episode  131/500 | return=-20.00 | len= 931 | eps=0.691 | loss=0.02248
Episode  132/500 | return=-21.00 | len= 914 | eps=0.689 | loss=0.02186
Episode  133/500 | return=-21.00 | len= 852 | eps=0.687 | loss=0.02359
Episode  134/500 | return=-21.00 | len= 848 | eps=0.685 | loss=0.02366
Episode  135/500 | return=-21.00 | len= 872 | eps=0.683 | loss=0.02299
Episode  136/500 | return=-20.00 | len=1008 | eps=0.681 | loss=0.02077
Episode  137/500 | return=-19.00 | len=1106 | eps=0.679 | loss=0.02009
Episode  138/500 | return=-20.00 | len= 921 | eps=0.678 | loss=0.02280
Episode  139/500 | return=-20.00 | len= 899 | eps=0.676 | loss=0.02339
Episode  140/500 | return=-21.00 | len= 792 | eps=0.674 | loss=0.02542
Episode  141/500 | return=-21.00 | len= 826 | eps=0.672 | loss=0.02407
Episode  142/500 | return=-21.00 | len= 826 | eps=0.670 | loss=0.02402
Episode  143/500 | return=-20.00 | len= 961 | eps=0.668 | loss=0.02191
Episode  144/500 | return=-21.00 | len= 975 | eps=0.666 | loss=0.02048
Episode  145/500 | return=-20.00 | len= 931 | eps=0.664 | loss=0.02251
Episode  146/500 | return=-20.00 | len= 986 | eps=0.663 | loss=0.02136
Episode  147/500 | return=-20.00 | len= 842 | eps=0.661 | loss=0.02523
Episode  148/500 | return=-21.00 | len= 820 | eps=0.659 | loss=0.02436
Episode  149/500 | return=-21.00 | len= 854 | eps=0.657 | loss=0.02355
