#{"t_start": 1764983017.8905473, "env_id": "ALE/Pong-v5"}
r,l,t
-11.0,2038,2347.44678
-9.0,1981,2356.614428
-17.0,1896,2366.325548
-18.0,1698,2375.250325
-9.0,2293,2387.35781
-7.0,3024,2403.192425
-17.0,1724,2412.005822
-4.0,2886,2424.949915
-7.0,2675,2438.492643
-7.0,2535,2449.770409
-8.0,2320,2461.908423
-7.0,2703,2475.944831
-9.0,2183,2485.625531
-8.0,2578,2499.608892
-7.0,2421,2510.449307
-14.0,1585,2518.307467
4.0,2754,2532.397286
-8.0,2364,2542.888676
-3.0,3445,2560.334765
-1.0,3082,2574.461996
-7.0,2230,2585.689191
-5.0,2393,2597.614711
-8.0,3393,2613.398641
-5.0,2630,2626.822235
-4.0,2506,2638.016834
-8.0,2113,2648.689112
2.0,3074,2663.503852
-5.0,2651,2676.823467
-2.0,3028,2693.316106
-6.0,2347,2703.873662
7.0,3180,2720.19647
-6.0,2434,2731.142471
-1.0,3338,2748.231427
9.0,2810,2761.071768
2.0,3253,2777.607243
4.0,3014,2791.46278
-2.0,3192,2807.619552
6.0,3167,2822.367046
7.0,2938,2837.353196
4.0,2910,2850.905007
1.0,2861,2865.612876
3.0,2874,2878.787467
5.0,2960,2893.991871
7.0,2923,2907.521139
7.0,2394,2919.933881
6.0,2915,2935.043018
2.0,3095,2949.546566
7.0,3057,2965.131507
4.0,2960,2978.744242
-3.0,2965,2994.225755
4.0,2946,3008.200327
3.0,2697,3022.25388
4.0,3012,3037.862755
8.0,2401,3053.803653
9.0,2350,3065.52907
6.0,2685,3080.218544
3.0,2879,3094.169433
12.0,2242,3105.913503
13.0,2455,3118.818315
8.0,2463,3130.146099
10.0,2654,3143.954528
12.0,2600,3156.373417
7.0,2679,3171.787851
12.0,2501,3185.280217
9.0,2432,3198.050935
12.0,2246,3209.441685
12.0,2700,3221.632549
12.0,2264,3233.325385
8.0,2795,3247.108979
5.0,2798,3261.60779
11.0,2298,3273.365784
9.0,2557,3285.148258
9.0,2745,3299.190391
10.0,2286,3309.281892
8.0,2676,3322.998995
12.0,2300,3335.078469
9.0,2556,3346.910081
10.0,2334,3359.16378
13.0,2591,3370.872077
10.0,3027,3387.514947
7.0,2854,3401.243753
10.0,3023,3416.944208
13.0,2722,3430.958531
15.0,2602,3442.850453
13.0,2878,3458.533843
13.0,2599,3470.85849
13.0,2404,3485.249202
9.0,2740,3499.341374
10.0,3211,3516.378488
11.0,2636,3529.237245
9.0,2702,3543.261844
14.0,2547,3554.744693
10.0,2519,3567.886716
12.0,2719,3582.210898
15.0,2571,3593.997338
4.0,3266,3610.902241
13.0,2942,3624.536129
13.0,2875,3639.820039
7.0,2951,3653.655309
13.0,3117,3670.485402
6.0,2747,3683.004728
11.0,2649,3696.754731
10.0,2922,3710.488943
9.0,2767,3725.985977
13.0,3000,3739.764914
16.0,2675,3754.033778
11.0,2297,3766.736847
12.0,2533,3778.388446
10.0,2454,3790.887315
8.0,2616,3802.77601
17.0,2960,3818.350024
12.0,2734,3831.08585
7.0,3154,3848.15319
14.0,2589,3860.576092
14.0,2452,3875.399299
13.0,2487,3888.990525
6.0,2953,3903.57349
13.0,2906,3919.33411
12.0,2822,3932.473438
16.0,3051,3948.65762
11.0,3141,3963.65456
7.0,3352,3981.069025
18.0,3124,3996.955302
14.0,3146,4012.953937
16.0,3206,4030.572922
15.0,3351,4046.948817
17.0,3228,4063.561118
8.0,2969,4077.778812
11.0,2484,4091.074179
9.0,2921,4105.097623
12.0,3126,4122.279341
19.0,3063,4136.738348
9.0,2527,4149.799719
17.0,2793,4164.087623
15.0,2792,4176.926093
9.0,2821,4191.373962
17.0,2878,4204.63509
16.0,3031,4220.069194
7.0,2595,4231.797546
12.0,2460,4244.252847
12.0,3240,4259.5725
6.0,3097,4275.484008
12.0,2402,4287.740401
11.0,2635,4299.609124
16.0,3011,4314.891136
4.0,3315,4330.134087
20.0,3294,4347.224564
18.0,3149,4361.983653
16.0,2773,4376.442338
10.0,2733,4389.351887
17.0,2874,4405.737323
14.0,3261,4421.264145
12.0,2545,4434.503589
16.0,2659,4446.470911
13.0,2458,4459.052858
15.0,2539,4471.979653
7.0,3051,4485.948102
16.0,2913,4500.912232
16.0,2616,4512.682092
12.0,2891,4527.446465
17.0,2940,4542.770762
15.0,2616,4556.10551
11.0,2603,4567.729983
12.0,2920,4583.072834
17.0,2907,4596.587604
14.0,2856,4611.446289
17.0,3038,4627.02005
8.0,2916,4641.218397
13.0,2798,4656.905939
13.0,2951,4671.162929
